Datum,Dekkingsgraad,Percentage
30-6-2017,Actuele dekkingsgraad,107.9
30-6-2017,Beleidsdekkingsgraad,102
30-6-2017,Minimaal vereiste dekkingsgraad,104.2
30-6-2017,Vereiste FTK dekkingsgraad (Feitelijke mix),123.8
30-6-2017,Vereiste FTK dekkingsgraad (Strategische mix),123.8
31-7-2017,Actuele dekkingsgraad,108.4
31-7-2017,Beleidsdekkingsgraad,103.1
31-7-2017,Minimaal vereiste dekkingsgraad,104.2
31-7-2017,Vereiste FTK dekkingsgraad (Feitelijke mix),123.8
31-7-2017,Vereiste FTK dekkingsgraad (Strategische mix),123.8
31-8-2017,Actuele dekkingsgraad,106.5
31-8-2017,Beleidsdekkingsgraad,104.1
31-8-2017,Minimaal vereiste dekkingsgraad,104.2
31-8-2017,Vereiste FTK dekkingsgraad (Feitelijke mix),123.7
31-8-2017,Vereiste FTK dekkingsgraad (Strategische mix),123.7
30-9-2017,Actuele dekkingsgraad,109.4
30-9-2017,Beleidsdekkingsgraad,105.2
30-9-2017,Minimaal vereiste dekkingsgraad,104.2
30-9-2017,Vereiste FTK dekkingsgraad (Feitelijke mix),123.8
30-9-2017,Vereiste FTK dekkingsgraad (Strategische mix),123.8
31-10-2017,Actuele dekkingsgraad,109.8
31-10-2017,Beleidsdekkingsgraad,106.3
31-10-2017,Minimaal vereiste dekkingsgraad,104.2
31-10-2017,Vereiste FTK dekkingsgraad (Feitelijke mix),123.7
31-10-2017,Vereiste FTK dekkingsgraad (Strategische mix),123.7
30-11-2017,Actuele dekkingsgraad,108.9
30-11-2017,Beleidsdekkingsgraad,107.1
30-11-2017,Minimaal vereiste dekkingsgraad,104.2
30-11-2017,Vereiste FTK dekkingsgraad (Feitelijke mix),123.6
30-11-2017,Vereiste FTK dekkingsgraad (Strategische mix),123.6
31-12-2017,Actuele dekkingsgraad,109.4
31-12-2017,Beleidsdekkingsgraad,107.7
31-12-2017,Minimaal vereiste dekkingsgraad,104.2
31-12-2017,Vereiste FTK dekkingsgraad (Feitelijke mix),123.8
31-12-2017,Vereiste FTK dekkingsgraad (Strategische mix),123.8
31-1-2018,Actuele dekkingsgraad,111.7
31-1-2018,Beleidsdekkingsgraad,108.2
31-1-2018,Minimaal vereiste dekkingsgraad,104.2
31-1-2018,Vereiste FTK dekkingsgraad (Feitelijke mix),123.8
31-1-2018,Vereiste FTK dekkingsgraad (Strategische mix),123.8
28-2-2018,Actuele dekkingsgraad,110
28-2-2018,Beleidsdekkingsgraad,108.6
28-2-2018,Minimaal vereiste dekkingsgraad,104.2
28-2-2018,Vereiste FTK dekkingsgraad (Feitelijke mix),123.9
28-2-2018,Vereiste FTK dekkingsgraad (Strategische mix),123.9
31-3-2018,Actuele dekkingsgraad,107.1
31-3-2018,Beleidsdekkingsgraad,108.7
31-3-2018,Minimaal vereiste dekkingsgraad,104.2
31-3-2018,Vereiste FTK dekkingsgraad (Feitelijke mix),123.6
31-3-2018,Vereiste FTK dekkingsgraad (Strategische mix),123.6
30-4-2018,Actuele dekkingsgraad,109.2
30-4-2018,Beleidsdekkingsgraad,108.8
30-4-2018,Minimaal vereiste dekkingsgraad,104.2
30-4-2018,Vereiste FTK dekkingsgraad (Feitelijke mix),123.7
30-4-2018,Vereiste FTK dekkingsgraad (Strategische mix),123.7
31-5-2018,Actuele dekkingsgraad,109.8
31-5-2018,Beleidsdekkingsgraad,109
31-5-2018,Minimaal vereiste dekkingsgraad,104.2
31-5-2018,Vereiste FTK dekkingsgraad (Feitelijke mix),123.7
31-5-2018,Vereiste FTK dekkingsgraad (Strategische mix),123.7
30-6-2018,Actuele dekkingsgraad,108.7
30-6-2018,Beleidsdekkingsgraad,109.1
30-6-2018,Minimaal vereiste dekkingsgraad,104.2
30-6-2018,Vereiste FTK dekkingsgraad (Feitelijke mix),123.7
30-6-2018,Vereiste FTK dekkingsgraad (Strategische mix),123.7
