Datum,Dekkingsgraad,Percentage
31-07-18,Actuele dekkingsgraad,111.1
31-07-18,Beleidsdekkingsgraad,109.3
31-07-18,Minimaal vereiste dekkingsgraad,104.2
31-07-18,Vereiste FTK dekkingsgraad,123.1
31-08-18,Actuele dekkingsgraad,110
31-08-18,Beleidsdekkingsgraad,109.6
31-08-18,Minimaal vereiste dekkingsgraad,104.2
31-08-18,Vereiste FTK dekkingsgraad,123.4
30-09-18,Actuele dekkingsgraad,111
30-09-18,Beleidsdekkingsgraad,109.7
30-09-18,Minimaal vereiste dekkingsgraad,104.2
30-09-18,Vereiste FTK dekkingsgraad,123.5
31-10-18,Actuele dekkingsgraad,106.9
31-10-18,Beleidsdekkingsgraad,109.5
31-10-18,Minimaal vereiste dekkingsgraad,104.2
31-10-18,Vereiste FTK dekkingsgraad,123.8
30-11-18,Actuele dekkingsgraad,106.3
30-11-18,Beleidsdekkingsgraad,109.3
30-11-18,Minimaal vereiste dekkingsgraad,104.2
30-11-18,Vereiste FTK dekkingsgraad,123.6
31-12-18,Actuele dekkingsgraad,102.8
31-12-18,Beleidsdekkingsgraad,108.7
31-12-18,Minimaal vereiste dekkingsgraad,104.2
31-12-18,Vereiste FTK dekkingsgraad,123.2
31-01-19,Actuele dekkingsgraad,105.1
31-01-19,Beleidsdekkingsgraad,108.2
31-01-19,Minimaal vereiste dekkingsgraad,104.2
31-01-19,Vereiste FTK dekkingsgraad,123.3
28-02-19,Actuele dekkingsgraad,107.4
28-02-19,Beleidsdekkingsgraad,108
28-02-19,Minimaal vereiste dekkingsgraad,104.2
28-02-19,Vereiste FTK dekkingsgraad,123.3
31-03-19,Actuele dekkingsgraad,105.8
31-03-19,Beleidsdekkingsgraad,107.8
31-03-19,Minimaal vereiste dekkingsgraad,104.2
31-03-19,Vereiste FTK dekkingsgraad,123
30-04-19,Actuele dekkingsgraad,107.7
30-04-19,Beleidsdekkingsgraad,107.7
30-04-19,Minimaal vereiste dekkingsgraad,104.2
30-04-19,Vereiste FTK dekkingsgraad,123
31-05-19,Actuele dekkingsgraad,102.4
31-05-19,Beleidsdekkingsgraad,107.1
31-05-19,Minimaal vereiste dekkingsgraad,104.2
31-05-19,Vereiste FTK dekkingsgraad,122.6
30-06-19,Actuele dekkingsgraad,101.8
30-06-19,Beleidsdekkingsgraad,106.5
30-06-19,Minimaal vereiste dekkingsgraad,104.2
30-06-19,Vereiste FTK dekkingsgraad,122.6
